SchoolDepartment,CourseTitle,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Urban Planning and Public Infrastructure,Kapowasin Water District,fbucknell4@clickbank.net,Issue and Risk Management,Hajar El Amrani,"Writing and Editing, Public Outreach and Engagement",25-04-2019,20:32:00
Engineering Leadership and Strategy,Strategic Alliance Header,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Graphic Design, Website Programming",25-04-2019,20:40:00
Engineering Leadership and Strategy,Post invite to web,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,25-04-2019,20:43:00
Academic Affairs and Staff Development,Interview Request,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,25-04-2019,20:51:00
Governance and Policy Studies,Edit Council District Maps,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Proofreading and Quality Assurance, Website Programming",25-04-2019,20:57:00
Quality Assurance and Risk Management,Fair Share Op-Ed,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Public Relations, Writing and Editing",25-04-2019,21:01:00
Governance and Policy Studies,PC Boating Safety,fbucknell4@clickbank.net,Strategic Planning and Project Management,Hajar El Amrani,"Public Outreach and Engagement, Graphic Design, Writing and Editing",25-04-2019,21:02:00
Governance and Policy Studies,Troubleshoot Proclamation Request,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,25-04-2019,21:05:00
Governance and Policy Studies,Proclamation Photos,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Video Editing, Proofreading and Quality Assurance",25-04-2019,21:06:00
Governance and Policy Studies,Lakebay Marina for Key Pen,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,25-04-2019,21:16:00
Governance and Policy Studies,Performance Audit Committee Citizen member,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Writing and Editing, Proofreading and Quality Assurance, Public Relations",25-04-2019,21:22:00
Governance and Policy Studies,KIRO TV Interview on Chambers Bayy,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,25-04-2019,21:35:00
Governance and Policy Studies,Chambers Bay Resort Post to All news,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,08-05-2019,19:46:00
Governance and Policy Studies,Column in the Gateway Pitch,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,13-05-2019,18:58:00
Governance and Policy Studies,Department of Health Series,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,"Video Editing and Production, Proofreading and Quality Assurance, Writing and Editing",13-05-2019,18:59:00
Governance and Policy Studies,E-Newsletter,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Website Programming, Writing and Editing",13-05-2019,19:01:00
Governance and Policy Studies,Chambers Bay Vote E-Newsletter,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Website Programming, Writing and Editing, Proofreading and Quality Assurance",13-05-2019,19:02:00
Governance and Policy Studies,May ENewsletter,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Proofreading and Quality Assurance, Graphic Design, Website Programming, Writing and Editing",13-05-2019,19:04:00
Governance and Policy Studies,Post Vacant Performance Audit Position,fbucknell4@clickbank.net,Social Media Strategy,Hajar El Amrani,"Public Relations, Writing and Editing, Proofreading and Quality Assurance, Website Programming",13-05-2019,19:07:00
Governance and Policy Studies,Respect for What we Do blog post,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Proofreading and Quality Assurance, Website Programming, Writing and Editing",13-05-2019,19:10:00
Governance and Policy Studies,Proclamation Photo,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Video Editing,13-05-2019,19:12:00
Engineering Leadership and Strategy,Strategic Alliance FAQ,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Proofreading and Quality Assurance, Writing and Editing, Website Programming",10-06-2019,16:52:00
Governance and Policy Studies,EDB Quotes,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Writing and Editing,10-06-2019,16:54:00
Governance and Policy Studies,Update committee assignments,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,10-06-2019,21:02:00
Governance and Policy Studies,Council wayfinding signage,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Technical Documentation, Graphic Design",10-06-2019,21:03:00
Governance and Policy Studies,Broadband study Release,fbucknell4@clickbank.net,News Writing and Editing,Hajar El Amrani,"Writing and Editing, News and Media Communication, Website Programming",10-06-2019,21:05:00
Governance and Policy Studies,Chronic Nuisance Talking Points,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Writing and Editing, Proofreading and Quality Assurance",10-06-2019,21:12:00
Governance and Policy Studies,Ferry Loading Guidelines,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Website Programming, Writing and Editing",10-06-2019,21:40:00
Governance and Policy Studies,Edit Division of Sustainability Blog Post,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Proofreading and Quality Assurance,10-06-2019,21:41:00
Engineering Leadership and Strategy,Strategic Alliance online survey,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Website Programming, Social Media Strategy, Writing and Editing",22-07-2019,22:40:00
Governance and Policy Studies,Strategy,fbucknell4@clickbank.net,Issue and Risk Management,Hajar El Amrani,Writing and Editing,22-07-2019,22:49:00
Governance and Policy Studies,E-Newsletter on Foothills Trail Closure,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Public Outreach and Engagement, Writing and Editing, Website Programming, Proofreading and Quality Assurance",22-07-2019,22:54:00
Governance and Policy Studies,E-Newsletter on District 6 Month,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Website Programming, Writing and Editing",22-07-2019,22:55:00
Governance and Policy Studies,E-Newsletter Broadband,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Website Programming, Writing and Editing",22-07-2019,22:57:00
Governance and Policy Studies,E-Newsletter on Amtrak Accident Cause,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Website Programming",22-07-2019,22:58:00
Governance and Policy Studies,E-newsletter on B-25,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Website Programming",22-07-2019,23:00:00
Governance and Policy Studies,Video on Trail Project,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Public Relations, Social Media Strategy, Video Editing and Production, Writing and Editing",22-07-2019,23:04:00
Engineering Leadership and Strategy,Updated User Engagement Comm Strategy,fbucknell4@clickbank.net,Issue and Risk Management,Hajar El Amrani,Writing and Editing,22-07-2019,23:08:00
Governance and Policy Studies,SS911 Bond Release,fbucknell4@clickbank.net,News Writing and Editing,Hajar El Amrani,"Public Relations, Writing and Editing, News and Media Communication, Proofreading and Quality Assurance",22-07-2019,23:10:00
Governance and Policy Studies,Business Card redesign,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Writing and Editing, Technical Documentation, Graphic Design",22-07-2019,23:11:00
Governance and Policy Studies,Printed Summer Newsletter,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Technical Documentation",22-07-2019,23:12:00
Governance and Policy Studies,Sales and Use Tax/Naxolene,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,22-07-2019,23:15:00
Governance and Policy Studies,Lunch with Jo Peterson,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,22-07-2019,23:16:00
Governance and Policy Studies,Jo Peterson Follow-up Questions,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,22-07-2019,23:21:00
Governance and Policy Studies,Assistance with editing webpage,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,22-07-2019,23:22:00
Governance and Policy Studies,Send media contacts,fbucknell4@clickbank.net,News Writing and Editing,Hajar El Amrani,News and Media Communication,22-07-2019,23:23:00
Governance and Policy Studies,Supplemental Budget Release,fbucknell4@clickbank.net,News Writing and Editing,Hajar El Amrani,"News and Media Communication, Public Relations",22-07-2019,23:25:00
Governance and Policy Studies,Drainage District,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,22-07-2019,23:28:00
Governance and Policy Studies,Vacation E-newsletter,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Writing and Editing, Website Programming",25-07-2019,15:07:00
Governance and Policy Studies,E-Newsletter on Chambers Amphitheater Outreach,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Writing and Editing, Website Programming",25-07-2019,15:09:00
Governance and Policy Studies,Women Leaders Video Series,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,"Proofreading and Quality Assurance, Video Editing and Production, Website Programming, Writing and Editing, Social Media Strategy",25-07-2019,15:12:00
Governance and Policy Studies,Creative Brief on Budget Series,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,"Proofreading and Quality Assurance, Writing and Editing, Video Editing and Production, Website Programming",25-07-2019,15:13:00
Governance and Policy Studies,E-Newsletter Text on Boards and Commissions,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Public Relations, Proofreading and Quality Assurance, Writing and Editing, Website Programming",25-07-2019,15:17:00
Governance and Policy Studies,E-Newsletter about Local farming,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Writing and Editing, Proofreading and Quality Assurance, Website Programming",25-07-2019,15:18:00
Governance and Policy Studies,E-Newsletter,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Website Programming, Writing and Editing, Proofreading and Quality Assurance",25-07-2019,15:20:00
Governance and Policy Studies,Interview on Broadband,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,25-07-2019,15:21:00
Governance and Policy Studies,Will James on Narxolene,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Public Relations, Writing and Editing",25-07-2019,15:23:00
Governance and Policy Studies,Sales and Use Tax Release?,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Writing and Editing, Public Relations",25-07-2019,15:24:00
Technical Communication and Media,Podcast Launch,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Writing and Editing,25-07-2019,15:25:00
Governance and Policy Studies,Special Districts Study Session,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,12-08-2019,17:44:00
Urban Planning and Public Infrastructure,Anderson Island Ferry Emergency Response,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Public Relations, Video Editing and Production, Website Programming, Writing and Editing, Social Media Strategy",12-08-2019,17:48:00
Technical Communication and Media,Translation layout,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Website Programming,12-08-2019,17:52:00
Governance and Policy Studies,E-newlstter on Fair and Vision 2050,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Website Programming, Graphic Design, Writing and Editing",12-08-2019,17:53:00
Governance and Policy Studies,1406 formula graphic,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,Graphic Design,12-08-2019,17:55:00
Governance and Policy Studies,Affordable Housing Consortium Talking Points,fbucknell4@clickbank.net,Event Management and Logistics,Hajar El Amrani,Writing and Editing,16-10-2019,00:00:00
Governance and Policy Studies,Council Budget Schedule News Release,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Writing and Editing, Website Programming, Public Relations",24-10-2019,21:35:00
Governance and Policy Studies,Email Correspondence to schedule Connie Videos,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,Writing and Editing,24-10-2019,21:51:00
Governance and Policy Studies,Budget Video Script,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,Writing and Editing,24-10-2019,23:41:00
Engineering Leadership and Strategy,Strategic Alliance Book,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Writing and Editing, Proofreading and Quality Assurance",24-10-2019,23:44:00
